Name PBCHM2214928 PBCHM2385700 PBCHM5937157 PBCHM6197496 PBCHM6337280 PBCHM10833216 PBCHM10927997 PBCHM11706422 PBCHM24520602 PBCHM27103272 PBCHM41932526 PBCHM44669698 PBCHM46326603 PBCHM46833046 PBCHM56880957 PBCHM60014145 PBCHM67898546 PBCHM71585840 PBCHM82349145 PBCHM82538169 PBCHM83462400 PBCHM84380412 PBCHM88756156 PBCHM89849633 PBCHM91193977 PBCHM95239954 PBCHM97973690 PBCHM117021259 PBCHM122181327 PBCHM123266931 PBCHM126227590 PBCHM126261253 PBCHM129016465 PBCHM132347258 PBCHM179291 PBCHM925587 PBCHM1873271 PBCHM2583913 PBCHM3186412 PBCHM3269941 PBCHM4486165 PBCHM9173128 PBCHM10496006 PBCHM11841482 
PBCHM2214928 0 0.653 0.3811 0.6317 0.6307 0.5786 0.6315 0.5937 0.6352 0.4593 0.5671 0.6678 0.4676 0.6525 0.5564 0.6097 0.6128 0.5749 0.5878 0.5594 0.3985 0.614 0.672 0.6851 0.487 0.619 0.6036 0.563 0.4837 0.6572 0.4665 0.5473 0.7128 0.6307 0.7649 0.5444 0.629 0.62 0.5658 0.6273 0.635 0.5297 0.6186 0.6416
PBCHM2385700 0.653 0 0.6483 0.5039 0.6164 0.6201 0.5813 0.5764 0.5894 0.6433 0.6168 0.5637 0.5582 0.6823 0.6778 0.6084 0.7255 0.7307 0.7525 0.7351 0.6939 0.5972 0.5864 0.7147 0.6448 0.5397 0.6111 0.744 0.5938 0.7091 0.5431 0.5209 0.7079 0.6264 0.7571 0.6003 0.6379 0.6068 0.6527 0.5237 0.5602 0.7573 0.6924 0.806
PBCHM5937157 0.3811 0.6483 0 0.5566 0.546 0.5532 0.5514 0.5265 0.545 0.4605 0.4826 0.6053 0.4455 0.6481 0.5129 0.6117 0.6369 0.6182 0.5791 0.585 0.4616 0.5572 0.6394 0.6146 0.4381 0.5291 0.5577 0.5493 0.4433 0.552 0.3663 0.4656 0.7368 0.6151 0.745 0.4758 0.5307 0.5623 0.5284 0.6191 0.6217 0.5146 0.5711 0.5611
PBCHM6197496 0.6317 0.5039 0.5566 0 0.6095 0.5885 0.59 0.4354 0.5858 0.635 0.6127 0.5431 0.5325 0.6836 0.6161 0.5756 0.7172 0.6874 0.7067 0.7089 0.6417 0.5628 0.6359 0.6573 0.5528 0.5171 0.5729 0.6755 0.5704 0.6594 0.4065 0.4533 0.7662 0.5795 0.7598 0.5456 0.5432 0.5389 0.543 0.5522 0.5171 0.644 0.6496 0.7252
PBCHM6337280 0.6307 0.6164 0.546 0.6095 0 0.5813 0.486 0.5728 0.573 0.6725 0.6317 0.6561 0.5748 0.6315 0.615 0.559 0.6018 0.6355 0.6767 0.6866 0.6657 0.6091 0.5639 0.6507 0.5711 0.5099 0.5184 0.6807 0.556 0.5874 0.5366 0.511 0.7251 0.6359 0.7655 0.6146 0.5342 0.5386 0.5673 0.6298 0.5674 0.6852 0.6033 0.714
PBCHM10833216 0.5786 0.6201 0.5532 0.5885 0.5813 0 0.6102 0.5563 0.493 0.5719 0.6 0.6217 0.4917 0.5992 0.5178 0.6043 0.6228 0.5972 0.6193 0.5784 0.5859 0.5646 0.5745 0.6878 0.5513 0.5321 0.4496 0.5615 0.5095 0.6721 0.5252 0.5697 0.7224 0.5938 0.7965 0.5922 0.6001 0.5294 0.4775 0.5852 0.6494 0.6235 0.5942 0.7116
PBCHM10927997 0.6315 0.5813 0.5514 0.59 0.486 0.6102 0 0.5915 0.5561 0.665 0.5889 0.6394 0.5978 0.6108 0.6388 0.6136 0.6487 0.6806 0.6717 0.7202 0.678 0.6083 0.5907 0.6166 0.5521 0.4975 0.6047 0.6526 0.5856 0.5585 0.5437 0.5564 0.6966 0.6593 0.754 0.582 0.5622 0.5859 0.6126 0.6102 0.6065 0.6862 0.6095 0.7406
PBCHM11706422 0.5937 0.5764 0.5265 0.4354 0.5728 0.5563 0.5915 0 0.5921 0.6211 0.5506 0.5644 0.5134 0.6761 0.5701 0.5966 0.7233 0.6837 0.7023 0.6271 0.599 0.6059 0.5987 0.6604 0.499 0.5112 0.5402 0.6601 0.5183 0.6237 0.4395 0.4537 0.7925 0.5821 0.7492 0.5365 0.5647 0.5818 0.5409 0.639 0.5356 0.6021 0.6425 0.7335
PBCHM24520602 0.6352 0.5894 0.545 0.5858 0.573 0.493 0.5561 0.5921 0 0.5624 0.5783 0.5465 0.5498 0.6507 0.5137 0.5505 0.6682 0.6651 0.6429 0.6621 0.6448 0.5601 0.5628 0.6967 0.5622 0.5444 0.5477 0.6722 0.5864 0.6606 0.5603 0.5238 0.7446 0.5108 0.7661 0.587 0.5939 0.5602 0.5391 0.5752 0.6241 0.6806 0.6364 0.7469
PBCHM27103272 0.4593 0.6433 0.4605 0.635 0.6725 0.5719 0.665 0.6211 0.5624 0 0.5867 0.5426 0.5926 0.6781 0.5361 0.6322 0.6777 0.6079 0.6731 0.5543 0.5648 0.6758 0.674 0.7385 0.5718 0.6734 0.6547 0.6479 0.5933 0.7214 0.5633 0.6266 0.7357 0.5138 0.805 0.6124 0.7039 0.5949 0.5874 0.574 0.6628 0.6578 0.7121 0.7304
PBCHM41932526 0.5671 0.6168 0.4826 0.6127 0.6317 0.6 0.5889 0.5506 0.5783 0.5867 0 0.6631 0.5802 0.6528 0.5708 0.6811 0.7363 0.6761 0.589 0.5771 0.6121 0.5949 0.5693 0.5923 0.5012 0.5255 0.6252 0.5656 0.4911 0.5426 0.5573 0.57 0.7017 0.6474 0.74 0.5672 0.5251 0.6507 0.6074 0.6502 0.7081 0.4706 0.5786 0.6744
PBCHM44669698 0.6678 0.5637 0.6053 0.5431 0.6561 0.6217 0.6394 0.5644 0.5465 0.5426 0.6631 0 0.6284 0.7419 0.6338 0.6537 0.7446 0.6709 0.7325 0.6733 0.633 0.6576 0.6257 0.7598 0.6662 0.6223 0.6124 0.6571 0.6478 0.7325 0.5811 0.5637 0.7781 0.3978 0.7769 0.6215 0.6292 0.6095 0.6414 0.6219 0.5964 0.7102 0.6631 0.7558
PBCHM46326603 0.4676 0.5582 0.4455 0.5325 0.5748 0.4917 0.5978 0.5134 0.5498 0.5926 0.5802 0.6284 0 0.6875 0.549 0.549 0.6646 0.6415 0.6434 0.632 0.5569 0.5635 0.6202 0.6485 0.5499 0.5429 0.5034 0.5928 0.4221 0.632 0.4387 0.4337 0.7313 0.6072 0.7659 0.5009 0.5802 0.5336 0.5258 0.6257 0.5827 0.5846 0.5748 0.6184
PBCHM46833046 0.6525 0.6823 0.6481 0.6836 0.6315 0.5992 0.6108 0.6761 0.6507 0.6781 0.6528 0.7419 0.6875 0 0.6174 0.6063 0.5696 0.6236 0.6455 0.6626 0.6682 0.6602 0.6705 0.487 0.6039 0.5978 0.6207 0.6454 0.6666 0.6508 0.6627 0.6839 0.7085 0.7482 0.7501 0.6356 0.6429 0.6619 0.6335 0.6185 0.6675 0.6865 0.6038 0.7435
PBCHM56880957 0.5564 0.6778 0.5129 0.6161 0.615 0.5178 0.6388 0.5701 0.5137 0.5361 0.5708 0.6338 0.549 0.6174 0 0.6171 0.6322 0.6147 0.6218 0.5876 0.5934 0.5467 0.6648 0.6387 0.5172 0.605 0.555 0.661 0.5431 0.6104 0.5538 0.5959 0.7567 0.6341 0.7561 0.5156 0.5934 0.5297 0.4013 0.6468 0.6539 0.5389 0.5727 0.6869
